product_id,sku,product_name,brand,category,price,stock_qty,status,sales_this_month,condition,supplier,warranty_months,weight_kg,warehouse_location,description
1,DEL-KEY-00001,Dell Wireless Keyboard USB-C Backlit,Dell,Keyboard,59,44,In Stock,5,New,Prime Tech Wholesale,24,1.01,"New York, NY",Ergonomic keyboard designed to reduce wrist strain. Great for extended typing sessions.
2,DEL-KEY-00002,Dell RGB Keyboard Bluetooth Ergonomic,Dell,Keyboard,89,34,In Stock,10,New,Tech Distributors Inc,36,0.82,"San Antonio, TX",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
3,DEL-KEY-00003,Dell Mechanical Keyboard RGB Backlit,Dell,Keyboard,39,0,Out of Stock,38,New,Prime Tech Wholesale,36,0.86,"Phoenix, AZ",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
4,DEL-DES-00004,Dell Mac mini Desktop 1TB SSD Ryzen 5,Dell,Desktop,1889,40,In Stock,3,Refurbished,Direct Source Electronics,24,6.43,"Boston, MA",Compact desktop PC perfect for office environments. Energy-efficient and quiet operation.
5,DEL-LAP-00005,Dell Spectre Laptop M2 Ryzen 5,Dell,Laptop,799,61,In Stock,9,New,Direct Source Electronics,12,2.28,"Denver, CO",Budget-friendly laptop that doesn't compromise on quality. Great for everyday computing and entertainment.
6,DEL-KEY-00006,Dell RGB Keyboard Backlit Ergonomic,Dell,Keyboard,59,27,In Stock,19,Refurbished,Prime Tech Wholesale,24,1.2,"Chicago, IL",Premium mechanical keyboard with tactile switches and customizable RGB lighting. Built for gamers and typists.
7,DEL-DOC-00007,Dell Ultra Docking Station,Dell,Docking Station,179,35,In Stock,5,New,Tech Distributors Inc,36,0.87,"Houston, TX",High-quality docking station from a trusted brand. Reliable performance and great value.
8,DEL-MON-00008,Dell UltraSharp Monitor 165Hz 144Hz,Dell,Monitor,1019,7,Low Stock,16,New,Prime Tech Wholesale,12,5.5,"Phoenix, AZ",Budget-friendly monitor with reliable performance. Good value for home office or general use.
9,DEL-MON-00009,Dell ROG Monitor USB-C QHD,Dell,Monitor,1459,130,In Stock,6,New,Prime Tech Wholesale,36,5.01,"Miami, FL",Budget-friendly monitor with reliable performance. Good value for home office or general use.
10,DEL-KEY-00010,Dell Pro Keyboard Wireless Membrane,Dell,Keyboard,109,47,In Stock,0,New,Prime Tech Wholesale,24,1.04,"New York, NY",Ergonomic keyboard designed to reduce wrist strain. Great for extended typing sessions.
11,DEL-DOC-00011,Dell Mini Docking Station,Dell,Docking Station,129,11,In Stock,6,New,Prime Tech Wholesale,24,0.81,"San Antonio, TX",High-quality docking station from a trusted brand. Reliable performance and great value.
12,DEL-LAP-00012,"Dell Air Laptop 13"" i5",Dell,Laptop,1709,11,In Stock,6,New,Tech Distributors Inc,36,1.61,"Dallas, TX",Lightweight and portable laptop ideal for students and business travelers. Long battery life and excellent build quality.
13,DEL-MOU-00013,Dell Gaming Mouse High DPI Programmable,Dell,Mouse,59,24,In Stock,5,New,Prime Tech Wholesale,24,0.2,"Las Vegas, NV",Wireless mouse with long battery life and smooth tracking. Great for everyday use.
14,DEL-DES-00014,Dell Mac mini Desktop i9 16GB,Dell,Desktop,3139,6,Low Stock,40,New,Global Electronics Supply,36,14.22,"Denver, CO",Gaming desktop with high-end graphics card and fast processor. Ready for the latest games.
15,DEL-MOU-00015,Dell Pro Mouse Ergonomic Programmable,Dell,Mouse,29,113,In Stock,0,New,Global Electronics Supply,36,0.27,"Boston, MA",Ergonomic mouse designed for comfort during extended use. Reduces hand fatigue.
